cat	title	ind	amt	dim	date	comment
Финансы	Государственный долг, всего	101	15400.9	BYN млн	2014-01-01	
Финансы	Государственный долг, всего	101	15378.1	BYN млн	2014-02-01	
Финансы	Государственный долг, всего	101	15586.5	BYN млн	2014-03-01	
Финансы	Государственный долг, всего	101	15655	BYN млн	2014-04-01	
Финансы	Государственный долг, всего	101	15780.1	BYN млн	2014-05-01	
Финансы	Государственный долг, всего	101	16008.5	BYN млн	2014-06-01	
Финансы	Государственный долг, всего	101	17641.8	BYN млн	2014-07-01	
Финансы	Государственный долг, всего	101	17584.1	BYN млн	2014-08-01	
Финансы	Государственный долг, всего	101	17882.2	BYN млн	2014-09-01	
Финансы	Государственный долг, всего	101	17980.2	BYN млн	2014-10-01	
Финансы	Государственный долг, всего	101	18208.4	BYN млн	2014-11-01	
Финансы	Государственный долг, всего	101	18441.2	BYN млн	2014-12-01	
Финансы	Государственный долг, всего	101	19745.5	BYN млн	2015-01-01	
Финансы	Государственный долг, всего	101	24603.8	BYN млн	2015-02-01	
Финансы	Государственный долг, всего	101	24005.5	BYN млн	2015-03-01	
Финансы	Государственный долг, всего	101	23606	BYN млн	2015-04-01	
Финансы	Государственный долг, всего	101	23659.9	BYN млн	2015-05-01	
Финансы	Государственный долг, всего	101	24330.5	BYN млн	2015-06-01	
Финансы	Государственный долг, всего	101	24983	BYN млн	2015-07-01	
Финансы	Государственный долг, всего	101	26032.5	BYN млн	2015-08-01	
Финансы	Государственный долг, всего	101	29673.5	BYN млн	2015-09-01	
Финансы	Государственный долг, всего	101	30337.7	BYN млн	2015-10-01	
Финансы	Государственный долг, всего	101	29789.9	BYN млн	2015-11-01	
Финансы	Государственный долг, всего	101	31850.6	BYN млн	2015-12-01	
Финансы	Государственный долг, всего	101	32855.9	BYN млн	2016-01-01	
Финансы	Государственный долг, всего	101	36199.9	BYN млн	2016-02-01	
Финансы	Государственный долг, всего	101	37900.9	BYN млн	2016-03-01	
Финансы	Государственный долг, всего	101	36221.8	BYN млн	2016-04-01	
Финансы	Государственный долг, всего	101	34657.4	BYN млн	2016-05-01	
Финансы	Государственный долг, всего	101	35288	BYN млн	2016-06-01	
Финансы	Государственный долг, всего	101	35911	BYN млн	2016-07-01	
Финансы	Государственный долг, всего	101	35903.7	BYN млн	2016-08-01	
Финансы	Государственный долг, всего	101	36044.8	BYN млн	2016-09-01	
Финансы	Государственный долг, всего	101	36004.1	BYN млн	2016-10-01	
Финансы	Государственный долг, всего	101	35469.5	BYN млн	2016-11-01	
Финансы	Государственный долг, всего	101	36802.7	BYN млн	2016-12-01	
Финансы	Государственный долг, всего	101	36958	BYN млн	2017-01-01	
Финансы	Государственный долг, всего	101	36591.9	BYN млн	2017-02-01	
Финансы	Государственный долг, всего	101	35458.9	BYN млн	2017-03-01	
Финансы	Государственный долг, всего	101	35005.4	BYN млн	2017-04-01	
Финансы	Государственный долг, всего	101	35880.5	BYN млн	2017-05-01	
Финансы	Государственный долг, всего	101	35295.7	BYN млн	2017-06-01	
Финансы	Государственный долг, всего	101	39681.3	BYN млн	2017-07-01	
Финансы	Государственный долг, всего	101	39773	BYN млн	2017-08-01	
Финансы	Государственный долг, всего	101	39610.4	BYN млн	2017-09-01	
Финансы	Государственный долг, всего	101	41404	BYN млн	2017-10-01	
Финансы	Государственный долг, всего	101	41857.6	BYN млн	2017-11-01	
Финансы	Государственный долг, всего	101	42265.5	BYN млн	2017-12-01	
Финансы	Государственный долг, всего	101	42172.5	BYN млн	2018-01-01	
Финансы	Государственный долг, всего	101	40556	BYN млн	2018-02-01	
Финансы	Государственный долг, всего	101	41381	BYN млн	2018-03-01	
Финансы	Государственный долг, всего	101	41334.5	BYN млн	2018-04-01	
Финансы	Государственный долг, всего	101	42259.8	BYN млн	2018-05-01	
Финансы	Государственный долг, всего	101	42465	BYN млн	2018-06-01	
Финансы	Государственный долг, всего	101	41965.2	BYN млн	2018-07-01	
Финансы	Государственный долг, всего	101	42148.7	BYN млн	2018-08-01	
Финансы	Государственный долг, всего	101	43978.9	BYN млн	2018-09-01	
Финансы	Государственный долг, всего	101	44573.8	BYN млн	2018-10-01	
Финансы	Государственный долг, всего	101	45082.4	BYN млн	2018-11-01	
Финансы	Государственный долг, всего	101	45583.9	BYN млн	2018-12-01	
Финансы	Кредиторская задолженность	102	35309.93	BYN млн	2016-01-01	
Финансы	Дебиторская задолженность	103	26982.21	BYN млн	2016-01-01	
Финансы	Просроченная дебиторская задолженность	104	6041.67	BYN млн	2016-01-01	
Финансы	Просроченная кредиторская задолженность	105	5797.89	BYN млн	2016-01-01	
Финансы	Кредиторская задолженность	102	36036.73	BYN млн	2016-02-01	
Финансы	Дебиторская задолженность	103	27907.81	BYN млн	2016-02-01	
Финансы	Просроченная дебиторская задолженность	104	6613.47	BYN млн	2016-02-01	
Финансы	Просроченная кредиторская задолженность	105	6471.09	BYN млн	2016-02-01	
Финансы	Кредиторская задолженность	102	37206.09	BYN млн	2016-03-01	
Финансы	Дебиторская задолженность	103	28818.22	BYN млн	2016-03-01	
Финансы	Просроченная дебиторская задолженность	104	7233.01	BYN млн	2016-03-01	
Финансы	Просроченная кредиторская задолженность	105	6866.4	BYN млн	2016-03-01	
Финансы	Кредиторская задолженность	102	38041.14	BYN млн	2016-04-01	
Финансы	Дебиторская задолженность	103	29237.37	BYN млн	2016-04-01	
Финансы	Просроченная дебиторская задолженность	104	7245.35	BYN млн	2016-04-01	
Финансы	Просроченная кредиторская задолженность	105	7060.2	BYN млн	2016-04-01	
Финансы	Кредиторская задолженность	102	37486.81	BYN млн	2016-05-01	
Финансы	Дебиторская задолженность	103	29458.38	BYN млн	2016-05-01	
Финансы	Просроченная дебиторская задолженность	104	7340.92	BYN млн	2016-05-01	
Финансы	Просроченная кредиторская задолженность	105	6887.16	BYN млн	2016-05-01	
Финансы	Кредиторская задолженность	102	37853.92	BYN млн	2016-06-01	
Финансы	Дебиторская задолженность	103	29534.83	BYN млн	2016-06-01	
Финансы	Просроченная дебиторская задолженность	104	7333.32	BYN млн	2016-06-01	
Финансы	Просроченная кредиторская задолженность	105	6792.52	BYN млн	2016-06-01	
Финансы	Кредиторская задолженность	102	37864.41	BYN млн	2016-07-01	
Финансы	Дебиторская задолженность	103	29584.69	BYN млн	2016-07-01	
Финансы	Просроченная дебиторская задолженность	104	7301.23	BYN млн	2016-07-01	
Финансы	Просроченная кредиторская задолженность	105	6951.52	BYN млн	2016-07-01	
Финансы	Кредиторская задолженность	102	37933.2	BYN млн	2016-08-01	
Финансы	Дебиторская задолженность	103	29893.1	BYN млн	2016-08-01	
Финансы	Просроченная дебиторская задолженность	104	7153.1	BYN млн	2016-08-01	
Финансы	Просроченная кредиторская задолженность	105	6849.3	BYN млн	2016-08-01	
Финансы	Кредиторская задолженность	102	38500.2	BYN млн	2016-09-01	
Финансы	Дебиторская задолженность	103	29557.4	BYN млн	2016-09-01	
Финансы	Просроченная дебиторская задолженность	104	7229.6	BYN млн	2016-09-01	
Финансы	Просроченная кредиторская задолженность	105	6934	BYN млн	2016-09-01	
Финансы	Кредиторская задолженность	102	38333.3	BYN млн	2016-10-01	
Финансы	Дебиторская задолженность	103	29723.3	BYN млн	2016-10-01	
Финансы	Просроченная дебиторская задолженность	104	7270.2	BYN млн	2016-10-01	
Финансы	Просроченная кредиторская задолженность	105	6931.1	BYN млн	2016-10-01	
Финансы	Кредиторская задолженность	102	38939.5	BYN млн	2016-11-01	
Финансы	Дебиторская задолженность	103	29712.9	BYN млн	2016-11-01	
Финансы	Просроченная дебиторская задолженность	104	7267.7	BYN млн	2016-11-01	
Финансы	Просроченная кредиторская задолженность	105	6990.1	BYN млн	2016-11-01	
Финансы	Кредиторская задолженность	102	39214.3	BYN млн	2016-12-01	
Финансы	Дебиторская задолженность	103	30379.7	BYN млн	2016-12-01	
Финансы	Просроченная дебиторская задолженность	104	7428.6	BYN млн	2016-12-01	
Финансы	Просроченная кредиторская задолженность	105	7013.3	BYN млн	2016-12-01	
Финансы	Кредиторская задолженность	102	39594.6	BYN млн	2017-01-01	
Финансы	Дебиторская задолженность	103	29943.5	BYN млн	2017-01-01	
Финансы	Просроченная дебиторская задолженность	104	6857.5	BYN млн	2017-01-01	
Финансы	Просроченная кредиторская задолженность	105	6854.3	BYN млн	2017-01-01	
Финансы	Кредиторская задолженность	102	38711.5	BYN млн	2017-02-01	
Финансы	Дебиторская задолженность	103	29695.7	BYN млн	2017-02-01	
Финансы	Просроченная дебиторская задолженность	104	7315.9	BYN млн	2017-02-01	
